,title,year,journal
3,Building nation-wide information infrastructures in healthcare through modular implementation strategies,2011,The Journal of Strategic Information Systems
5,The regulatory considerations and ethical dilemmas of location-based services (LBS): A literature review,2014,Information Technology & People
9,Stylometric Identification in Electronic Markets: Scalability and Robustness,2008,Journal of Management Information Systems
13,Big Data Research in Information Systems - Toward an Inclusive Research Agenda,2016,Journal of the Association for Information Systems
16,From boundary spanning to creolization: A study of Chinese software and services outsourcing vendors,2013,The Journal of Strategic Information Systems
17,Inventing Together: The Role of Actor Goals and Platform Affordances in Open Innovation,2022,Journal of the Association for Information Systems
22,From cacophony to harmony: A case study about the IS implementation process as an opportunity for organizational transformation at Sentara Healthcare,2011,The Journal of Strategic Information Systems
36,Theorizing the Multilevel Effects of Interruptions and the Role of Communication Technology,2018,Journal of the Association for Information Systems
50,Effect of Information Feedback on the Outcomes and Dynamics of Multisourcing Multiattribute Procurement Auctions,2012,Journal of Management Information Systems
101,Comparing conceptual modeling techniques - a critical review of the EER vs. OO empirical literature,2008,ACM SIGMIS Database
112,From Placebo to Panacea - Studying the Diffusion of IT Management Techniques with Ambiguous Efficiencies - The Case of Capability Maturity Model,2018,Journal of the Association for Information Systems
117,A Comprehensive Review and Synthesis of Open Source Research,2010,Journal of the Association for Information Systems
120,The adoption and use of IT artifacts: A new interaction-centric model for the study of user-artifact relationships,2009,Journal of the Association for Information Systems
121,The Role of Design Characteristics in Shaping Perceptions of Similarity - The Case of Online Shopping Assistants,2006,Journal of the Association for Information Systems
122,The Adoption of Online Shopping Assistants - Perceived Similarity as an Antecedent to Evaluative Beliefs,2011,Journal of the Association for Information Systems
126,An Integrated Performance Model of Information Systems Projects,2002,Journal of Management Information Systems
127,An assessment of the use of Transaction Cost Theory in information technology outsourcing,2011,The Journal of Strategic Information Systems
129,An Empirical Examination of the Influence of Organizational Culture on Knowledge Management Practices,2005,Journal of Management Information Systems
155,Situated with Infrastructures - Interactivity and Entanglement in Sensor Data Interpretation,2014,Journal of the Association for Information Systems
156,"Team Size, Dispersion, and Social Loafing in Technology-Supported Teams - A Perspective on the Theory of Moral Disengagement",2010,Journal of Management Information Systems
157,Risk management in ERP project introduction - Review of the literature,2007,Information & Management
160,Software Licenses in Context - The Challenge of Heterogeneously-Licensed Systems,2010,Journal of the Association for Information Systems
163,"Work System Theory - Overview of Core Concepts, Extensions, and Challenges for the Future",2013,Journal of the Association for Information Systems
164,Theory of Workarounds,2014,Communications of the Association for Information Systems
166,Work System Theory as a Platform - Response to a Research Perspective Article by Niederman and March,2015,Journal of the Association for Information Systems
169,Productivity and Performance Effects of Business Process Reengineering - A Firm-Level Analysis,2011,Journal of Management Information Systems
174,The world and business computing in 2051,2003,The Journal of Strategic Information Systems
181,Three Decades of Research on Strategic Information System Plan Development,2014,Communications of the Association for Information Systems
183,Profiling Web Usage in the Workplace - A Behavior-Based Artificial Intelligence Approach,2002,Journal of Management Information Systems
185,"Information technology, strategic decision making approaches and organizational performance in different industrial settings",2001,The Journal of Strategic Information Systems
187,Self-Organizing in Blockchain Infrastructures - Generativity Through Shifting Objectives and Forking,2019,Journal of the Association for Information Systems
193,Architectural knowledge in inter-organizational IT innovation,2008,The Journal of Strategic Information Systems
194,A Contingency Approach to Software Project Coordination,2002,Journal of Management Information Systems
195,An empirical model of IT usage in the Malaysian public sector,2001,The Journal of Strategic Information Systems
199,Dual Role of IT-Assisted Communication in Patient Care - A Validated Structure-Process-Outcome Framework,2012,Journal of Management Information Systems
206,Index,2002,The Journal of Strategic Information Systems
207,Editorial Board,2002,The Journal of Strategic Information Systems
215,Editorial Board,2003,The Journal of Strategic Information Systems
216,Editorial Board,2003,The Journal of Strategic Information Systems
217,Editorial Board,2003,The Journal of Strategic Information Systems
218,Index,2003,The Journal of Strategic Information Systems
219,Editorial Board,2003,The Journal of Strategic Information Systems
236,Editorial Board,2004,The Journal of Strategic Information Systems
237,"Call for papers: the 6th European conference on organizational knowledge, learning and capabilities (OKLC) Boston, USA, March 18-19, 2005 Hosted by Bentley College",2004,The Journal of Strategic Information Systems
238,Index,2004,The Journal of Strategic Information Systems
255,Announcement,2005,The Journal of Strategic Information Systems
256,Index,2005,The Journal of Strategic Information Systems
257,Call for papers,2005,The Journal of Strategic Information Systems
274,Editorial Board,2006,The Journal of Strategic Information Systems
275,Index,2006,The Journal of Strategic Information Systems
294,Index,2007,The Journal of Strategic Information Systems
312,Index,2008,The Journal of Strategic Information Systems
313,List of Reviewers 2006-2007,2008,The Journal of Strategic Information Systems
328,List of Reviewers 2008,2009,The Journal of Strategic Information Systems
329,Index,2009,The Journal of Strategic Information Systems
345,Index,2010,The Journal of Strategic Information Systems
346,List of Reviewers 2009-2010,2010,The Journal of Strategic Information Systems
360,List of Reviewers 2010-2011,2011,The Journal of Strategic Information Systems
361,Index,2011,The Journal of Strategic Information Systems
375,Index,2012,The Journal of Strategic Information Systems
376,List of Reviewers 2011-2012,2012,The Journal of Strategic Information Systems
390,Index,2013,The Journal of Strategic Information Systems
391,List of Reviewers 2012-2013,2013,The Journal of Strategic Information Systems
392,Investigating Retrieval-Induced Forgetting During Information Requirements Determination,2010,Journal of the Association for Information Systems
394,Digital Consumer Networks and Producer - Consumer Collaboration - Innovation and Product Development in the Video Game Industry,2007,Journal of Management Information Systems
398,Corporate Wikis: The Effects of Owners' Motivation and Behavior on Group Members' Engagement,2012,Journal of Management Information Systems
399,Heuristic Principles and Differential Judgments in the Assessment of Information Quality,2017,Journal of the Association for Information Systems
400,A Theory-Driven Design Framework for Social Recommender Systems,2010,Journal of the Association for Information Systems
402,Information Quality in Wikipedia - The Effects of Group Composition and Task Conflict,2011,Journal of Management Information Systems
404,The Role of Signaling Identity in the Adoption of Personal Technologies,2014,Journal of the Association for Information Systems
406,Preface,2003,The Journal of Strategic Information Systems
