"citation_key","ENTRYTYPE","author","title","year","type","journal","booktitle","volume","issue","pages","doi"
"AdamsPolzmacherWolff2013","article","Adams, Clive E and Polzmacher, Stefanie and Wolff, Annabelle","Systematic reviews: Work that needs to be done and not to be done","2013","article","Journal of Evidence-Based Medicine",,"6","4","232--235","10.1111/JEBM.12072"
"AdamsSmartHuff2017","article","Adams, Richard J. and Smart, Palie and Huff, Anne Sigismund","Shades of grey: Guidelines for working with the grey literature in systematic reviews for management and organizational studies","2017","article","International Journal of Management Reviews",,"19","4","432--454","10.1111/IJMR.12102"
"AguinisDaltonBoscoEtAl2011","article","Aguinis, Herman and Dalton, Dan R. and Bosco, Frank A. and Pierce, Charles A. and Dalton, Catherine M.","Meta-analytic choices and judgment calls: Implications for theory building and testing, obtained effect sizes, and scholarly impact","2011","article","Journal of Management",,"37","1","5--38","10.1177/0149206310377113"
"AguinisRamaniAlabduljader2020","article","Aguinis, Herman and Ramani, Ravi S. and Alabduljader, Nawaf","Best-practice recommendations for producers, evaluators, and users of methodological literature reviews","2023","article","Organizational Research Methods",,"26","1","46--76","10.1177/1094428120943281"
"AklHaddawayRadaEtAl2020","article","Akl, Elie A and Haddaway, Neal R and Rada, Gabriel and Lotfi, Tamara","Future of evidence ecosystem series: evidence synthesis 2.0: When systematic, scoping, rapid, living, and overviews of reviews come together","2020","article","Journal of Clinical Epidemiology",,"123",,"162--165","10.1016/J.JCLINEPI.2020.01.025"
"AklMeerpohlElliottEtAl2017","article","Akl, Elie A. and Meerpohl, Joerg J. and Elliott, Julian and Kahale, Lara A. and Schünemann, Holger J. and Agoritsas, Thomas and Hilton, John and Perron, Caroline and Akl, Elie and Hodder, Rebecca and Pestridge, Charlotte and Albrecht, Lauren and Horsley, Tanya and Platt, Joanne and Armstrong, Rebecca and Nguyen, Phi Hung and Plovnick, Robert and Arno, Anneliese and Ivers, Noah and Quinn, Gail and Au, Agnes and Johnston, Renea and Rada, Gabriel and Bagg, Matthew and Jones, Arwel and Ravaud, Philippe and Boden, Catherine and Kahale, Lara and Richter, Bernt and Boisvert, Isabelle and Keshavarz, Homa and Ryan, Rebecca and Brandt, Linn and Kolakowsky-Hayner, Stephanie A. and Salama, Dina and Brazinova, Alexandra and Nagraj, Sumanth Kumbargere and Salanti, Georgia and Buchbinder, Rachelle and Lasserson, Toby and Santaguida, Lina and Champion, Chris and Lawrence, Rebecca and Santesso, Nancy and Chandler, Jackie and Les, Zbigniew and Schünemann, Holger J. and Charidimou, Andreas and Leucht, Stefan and Shemilt, Ian and Chou, Roger and Low, Nicola and Sherifali, Diana and Churchill, Rachel and Maas, Andrew and Siemieniuk, Reed and Cnossen, Maryse C. and MacLehose, Harriet and Simmonds, Mark and Cossi, Marie-Joelle and Macleod, Malcolm and Skoetz, Nicole and Counotte, Michel and Marshall, Iain and Soares-Weiser, Karla and Craigie, Samantha and Marshall, Rachel and Srikanth, Velandai and Dahm, Philipp and Martin, Nicole and Sullivan, Katrina and Danilkewich, Alanna and Martínez García, Laura and Synnot, Anneliese and Danko, Kristen and Mavergames, Chris and Taylor, Mark and Donoghue, Emma and Maxwell, Lara J. and Thayer, Kris and Dressler, Corinna and McAuley, James and Thomas, James and Egan, Cathy and McDonald, Steve and Tritton, Roger and Elliott, Julian and McKenzie, Joanne and Tsafnat, Guy and Elliott, Sarah A. and Meerpohl, Joerg and Tugwell, Peter and Etxeandia, Itziar and Merner, Bronwen and Turgeon, Alexis and Featherstone, Robin and Mondello, Stefania and Turner, Tari and Foxlee, Ruth and Morley, Richard and van Valkenhoef, Gert and Garner, Paul and Munafo, Marcus and Vandvik, Per and Gerrity, Martha and Munn, Zachary and Wallace, Byron and Glasziou, Paul and Murano, Melissa and Wallace, Sheila A. and Green, Sally and Newman, Kristine and Watts, Chris and Grimshaw, Jeremy and Nieuwlaat, Robby and Weeks, Laura and Gurusamy, Kurinchi and Nikolakopoulou, Adriani and Weigl, Aaron and Haddaway, Neal and Noel-Storr, Anna and Wells, George and Hartling, Lisa and O'Connor, Annette and Wiercioch, Wojtek and Hayden, Jill and Page, Matthew and Wolfenden, Luke and Helfand, Mark and Pahwa, Manisha and Yepes Nuñez, Juan José and Higgins, Julian and Pardo, Jordi Pardo and Yost, Jennifer and Hill, Sophie and Pearson, Leslea","Living systematic reviews: 4. Living guideline recommendations","2017","article","Journal of Clinical Epidemiology",,"91",,"47--53","10.1016/J.JCLINEPI.2017.08.009"
"AlZubidyCarverHaleEtAl2017","article","Al-Zubidy, Ahmed and Carver, Jeffrey C. and Hale, David P. and Hassler, Edgar E.","Vision for SLR tooling infrastructure: Prioritizing value-added requirements","2017","article","Information and Software Technology",,"91",,"72--81","10.1016/J.INFSOF.2017.06.007"
"AlvessonSandberg2011","article","Alvesson, Mats and Sandberg, Jörgen","Generating research questions through problematization","2011","article","Academy of Management Review",,"36","2","247--271","10.5465/AMR.2011.59330882"
"AlvessonSandberg2020","article","Alvesson, Mats and Sandberg, Jörgen","The problematizing review: A counterpoint to Elsbach and Van Knippenberg's argument for integrative reviews","2020","article","Journal of Management Studies",,"57","6","1290--1304","10.1111/JOMS.12582"
"AmogPhamCourvoisierEtAl2022","article","Amog, Krystle and Pham, Ba’ and Courvoisier, Melissa and Mak, Megan and Booth, Andrew and Godfrey, Christina and Hwee, Jeremiah and Straus, Sharon E. and Tricco, Andrea C.","The web-based ''Right Review'' tool asks reviewers simple questions to suggest methods from 41 knowledge synthesis methods","2022","article","Journal of Clinical Epidemiology",,"147",,"42--51","10.1016/J.JCLINEPI.2022.03.004"
