literature_review,title,abstract,references
0,Essence - facilitating software innovation,,"['10.1145/1056224.1056242', '10.1016/j.technovation.2004.07.019', '10.21236/ada305472', '10.1109/ms.2008.128', '10.1109/ms.2004.1331305', '10.1109/ms.2003.1231159', '10.1109/ms.2003.1231144', '10.1109/52.951486', '10.1057/palgrave.ejis.3000604', '10.1057/palgrave.ejis.3000523', '10.1109/2.59', '10.1145/1323688.1323689', '10.2307/25148625', '10.2307/249584', '10.1287/isre.3.1.36', '10.17705/1jais.00054', '10.1145/1357054.1357200', '10.1080/07421222.2003.11045836', '10.1109/mprv.2002.1012339', '10.1109/2.947100', '10.1002/0471750336.ch2', '10.1017/cbo9780511550881.029']"
0,The dark side of data ecosystems: A longitudinal study of the DAMD project,,"['10.5465/amj.2007.24160882', '10.1186/2047-2501-2-3', '10.1080/1369118x.2012.678878', '10.1007/s10115-018-1323-6', '10.1109/tem.2020.2966024', '10.1016/j.ijlcj.2009.04.002', '10.1038/d41586-019-03574-5', '10.7551/mitpress/9302.001.0001', '10.1108/tg-03-2020-0047', '10.1108/tg-06-2018-0041', '10.1057/ejis.2014.17', '10.1057/ejis.2013.10', '10.1057/ejis.2008.2', '10.5465/amr.1999.2553248', '10.1057/palgrave.ejis.3000252', '10.2307/259349', '10.1057/jit.2015.5', '10.1057/jit.2014.17', '10.1016/j.techfore.2017.09.040', '10.1016/j.ejor.2017.02.023', '10.25300/misq/2021/15864', '10.2307/41703503', '10.2307/41409971', '10.25300/misq/2014/38.1.08', '10.25300/misq/2016/40:4.03', '10.2307/249627', '10.2307/249410', '10.1287/isre.2014.0546', '10.1108/ejim-03-2020-0076', '10.17705/1jais.00423', '10.1111/jpim.12105', '10.1007/s10796-019-09923-z', '10.1109/mnet.2014.6863125', '10.1109/cts.2014.6867550', '10.2139/ssrn.1819486', '10.1016/j.jss.2012.12.026', '10.1126/science.1248506', '10.1016/j.enpol.2015.02.020', '10.1177/2053951717736335', '10.1016/j.jbusres.2016.08.002', '10.1016/j.jbusres.2016.08.001', '10.1145/2463676.2463707']"
0,Symbolic Action Research in Information Systems: Introduction to the Special Issue,,
0,Text Analytics to Support Sense-Making in Social Media: A Language-Action Perspective,,
0,MetaFraud - A Meta-Learning Framework for Detecting Financial Fraud,,
0,CyberGate - A Design Framework and System for Text Analysis of Computer-Mediated Communication,,
0,Detecting Fake Websites - The Contribution of Statistical Learning Theory,,
0,Everywhere and nowhere - nearshore software development in the context of globalisation,,"['10.1201/1078/44432.21.3.20040601/82472.3', '10.1201/1078/44432.21.3.20040601/82475.6', '10.1201/1078/44432.21.3.20040601/82474.5', '10.1080/02642069900000006', '10.1080/1024529042000301962', '10.1111/j.1540-5915.2010.00268.x', '10.1016/j.infsof.2010.08.003', '10.1016/j.im.2008.07.003', '10.1109/17.985747', '10.1111/1467-9701.00103', '10.1016/0378-7206(93)90045-u', '10.1016/0378-7206(89)90043-8', '10.1215/9780822380290', '10.1111/j.1365-2575.2004.00176.x', '10.1057/ejis.2009.31', '10.1057/ejis.1995.9', '10.1109/52.914734', '10.1002/mde.4090160307', '10.1017/cbo9780511615351', '10.1016/j.jwb.2008.08.005', '10.1145/1290958.1290959', '10.2753/mis0742-1222220402', '10.1057/9780230288034', '10.2307/30036537', '10.1016/j.intman.2008.08.001', '10.1016/j.intman.2008.06.003', '10.1016/j.intman.2006.05.002', '10.1016/j.intman.2006.05.003', '10.1016/j.intman.2005.03.010', '10.1016/j.intman.2005.03.004', '10.1016/j.jom.2007.02.012', '10.1007/978-1-349-03196-2_38', '10.1057/palgrave.jibs.8490024', '10.1057/palgrave.jibs.8490183', '10.1057/palgrave.jibs.8490372', '10.1287/orsc.13.3.249.2776', '10.7551/mitpress/9036.001.0001', '10.1057/palgrave.jibs.8490602', '10.1057/palgrave.jibs.8490593', '10.1007/978-1-349-11336-1', '10.1057/jit.2008.13', '10.1111/j.1468-2257.2004.00259.x', '10.1108/09593840910981400', '10.1080/1097198x.2006.10856414', '10.1145/303849.303853', '10.1080/15228053.2004.10856046']"
0,Effective use of information technologies by seniors: the case of wearable device use,,"['10.1287/mnsc.46.2.186.11926', '10.1016/j.hlpt.2019.11.002', '10.1007/978-3-642-03655-2_7', '10.1016/j.im.2019.02.001', '10.1016/j.im.2015.07.001', '10.1016/j.chb.2016.07.047', '10.1016/j.chb.2015.09.027', '10.1111/j.1468-2958.2007.00299.x', '10.2196/jmir.7288', '10.1002/ibd.21394', '10.1108/14779960911004480', '10.2196/jmir.3469', '10.1145/2750858.2804288', '10.1057/ejis.2013.19', '10.1016/j.gerinurse.2015.02.019', '10.1177/160940690200100202', '10.1108/jsit-04-2017-0025', '10.1016/j.ijmedinf.2015.07.002', '10.1016/j.ijmedinf.2014.01.004', '10.1108/imds-03-2015-0087', '10.1016/j.dss.2006.02.007', '10.1016/j.jmii.2020.02.011', '10.1001/jama.2016.9124', '10.1016/j.jbi.2009.07.002', '10.25300/misq/2020/15103', '10.25300/misq/2019/13947', '10.2307/41410412', '10.2307/25148815', '10.2307/30036540', '10.25300/misq/2016/40.3.04', '10.2307/3250921', '10.1207/s15326969eco1502_5', '10.1097/00006199-196807000-00014', '10.2307/249008', '10.1001/jama.2014.14781', '10.1186/s12889-016-3059-0', '10.1287/isre.2017.0702', '10.1287/isre.1120.0444', '10.1287/isre.1110.0407', '10.1287/isre.1110.0383', '10.1287/isre.8.3.240', '10.1287/isre.6.2.144', '10.2196/ijmr.6685', '10.17705/1jais.00353', '10.17705/1jais.00126', '10.1001/jama.298.19.2296', '10.1080/07421222.2003.11045748', '10.1287/isre.1060.0096', '10.2196/mhealth.4461', '10.1016/j.amepre.2015.01.020', '10.1016/0167-9236(93)e0033-a', '10.1038/s41587-019-0045-y', '10.1016/s0140-6736(16)30383-x', '10.1016/s0140-6736(16)30581-5', '10.23736/s1973-9087.17.04691-3']"
0,Enriching our theoretical repertoire - the role of evolutionary psychology in technology acceptance,,"['10.1207/s15327965pli0601_1', '10.1089/tmj.2008.0052', '10.4018/978-1-930708-06-8.ch005', '10.5465/amj.2006.22083020', '10.1016/0732-118x(87)90001-8', '10.1016/j.pec.2005.10.006', '10.1287/mnsc.46.2.186.11926', '10.1207/s15327663jcp0901_2', '10.1145/341852.341877', '10.1145/358916.361990', '10.1037/h0036780', '10.1146/annurev.psych.54.101601.145059', '10.1023/b:biph.0000036111.64561.63', '10.1016/s0048-7333(02)00095-1', '10.1111/j.1540-5915.1997.tb01322.x', '10.1111/j.1540-5915.1974.tb00631.x', '10.1037/14359-000', '10.4135/9781452230153', '10.1177/001872679004300702', '10.4159/9780674076549', '10.1016/s1386-5056(00)00130-1', '10.1177/074391569501200111', '10.1016/s1386-5056(00)00130-1', '10.1016/j.dss.2006.04.001', '10.1145/238339.238358', '10.1007/bf01089778', '10.1017/cbo9780511621123', '10.1093/fampra/cmh215', '10.1207/s15327957pspr0802_13', '10.2307/25148693', '10.2307/20650297', '10.2307/30036540', '10.2307/249688', '10.1111/j.1559-1816.1998.tb01685.x', '10.1111/j.1559-1816.1992.tb00945.x', '10.1287/orsc.1080.0354', '10.1287/orsc.1040.0103', '10.1287/orsc.1040.0071', '10.2307/249443', '10.2307/249633', '10.2307/249410', '10.2307/249008', '10.1287/isre.2.3.192', '10.1287/isre.6.2.144', '10.1086/406755', '10.17705/1jais.00120', '10.17705/1jais.00126', '10.17705/1jais.00128', '10.17705/1jais.00122', '10.17705/1jais.00121', '10.17705/1jais.00123', '10.17705/1jais.00125', '10.1080/07421222.2002.11045692', '10.1287/isre.10.1.1', '10.1287/isre.11.4.342.11872', '10.1287/isre.12.2.121.9700', '10.1080/01972240490507974', '10.1017/s0140525x07000854', '10.1037/0033-2909.117.3.497', '10.1037/0033-2909.116.1.75', '10.7551/mitpress/7306.001.0001', '10.1177/002188638602200207', '10.1037/0022-3514.77.5.942', '10.1037/0033-295x.84.2.191', '10.1016/0749-5978(91)90020-t', '10.1177/0146167292181001', '10.1111/j.1467-6486.2005.00499.x', '10.1037/h0054346', '10.1037/0033-295x.109.1.3', '10.1515/9781503620766', '10.1177/0165551508095781', '10.1037/a0018413', '10.1037/a0013205', '10.1037/a0013207', '10.1037/a0013385', '10.1037/a0013386', '10.2307/j.ctvjnrttd']"
