literature_review,abstract,title,references
1,"As the United States expends extraordinary efforts toward the digitization of its health-care system, and as policy makers across the globe look to information technology (IT) as a means of making health-care systems safer, more affordable, and more accessible, a rare and remarkable opportunity has emerged for the information systems research community to leverage its in-depth knowledge to both advance theory and influence practice and policy. Although health IT (HIT) has tremendous potential to improve quality and reduce costs in healthcare, significant challenges need to be overcome to fully realize this potential. In this commentary, we survey the landscape of existing studies on HIT to provide an overview of the current status of HIT research. We then identify three major areas that warrant further research: (1) HIT design, implementation, and meaningful use; (2) measurement and quantification of HIT payoff and impact; and (3) extending the traditional realm of HIT. We discuss specific research questions in each domain and suggest appropriate methods to approach them. We encourage information systems scholars to become active participants in the global discourse on health-care transformation through IT.",Research Commentary - The Digital Transformation of Healthcare - Current Status and the Road Ahead,"['10.1016/j.jhealeco.2009.06.004', '10.1111/j.1937-5956.2011.01218.x', '10.1287/mnsc.49.3.273.12736', '10.1016/s0002-9343(03)00057-3', '10.1016/j.infoandorg.2004.02.001', '10.1177/1077558707313437', '10.1001/archinternmed.2008.520', '10.1001/archinte.167.13.1400', '10.1002/hec.1283', '10.1016/j.jeconom.2008.01.001', '10.1016/j.amjmed.2009.09.004', '10.1056/nejmp1006114', '10.1111/j.1475-6773.2006.00510.x', '10.1001/archinte.163.12.1409', '10.1056/nejmsa0900592', '10.1056/nejmsa0802005', '10.1377/hlthaff.2010.0155', '10.1377/hlthaff.2009.1086', '10.1007/s10916-007-9079-7', '10.1056/nejmhpr066212', '10.1080/19416520802211644', '10.1057/palgrave.ejis.3000714', '10.1377/hlthaff.28.2.483', '10.1377/hlthaff.28.2.357', '10.1377/hlthaff.28.2.w282', '10.1377/hlthaff.26.2.w107', '10.1377/hlthaff.25.w496', '10.1136/jamia.2009.001826', '10.1197/jamia.m2255', '10.1197/jamia.m2187', '10.1197/jamia.m1475', '10.1197/jamia.m1471', '10.1080/10580530601036778', '10.1001/jama.293.10.1197', '10.1001/jama.292.19.2366', '10.1002/jhm.106', '10.1080/07421222.2000.11518265', '10.2753/mis0742-1222260203', '10.1377/hlthaff.24.6.1654', '10.1377/hlthaff.24.5.1103', '10.1377/hlthaff.23.4.184', '10.1542/peds.2005-1287', '10.1109/hicss.2002.994119', '10.2307/25148818', '10.1056/nejmoa041533', '10.1287/orsc.1070.0286', '10.1287/orsc.1060.0225', '10.1287/isre.1110.0365', '10.1287/isre.1100.0335', '10.7326/0003-4819-144-10-200605160-00125', '10.1001/jama.2009.958', '10.1001/jama.2009.424', '10.2307/3556620', '10.1287/isre.1070.0158', '10.1287/isre.1040.0032', '10.1287/isre.11.1.83.11784', '10.1016/s0167-9236(00)00095-6', '10.2307/3094828', '10.1001/jama.289.18.2400', '10.1287/mnsc.1100.1183', '10.1287/mnsc.1090.1014', '10.1111/j.1748-720x.2009.00424.x', '10.1145/1067860.1067864', '10.1086/374180', '10.1136/bmj.a2448', '10.1038/nrg2360', '10.1071/ah000176', '10.1016/s0002-9343(03)00057-3', '10.1186/1472-6947-6-1', '10.1007/s11606-010-1383-0', '10.1007/s11606-008-0857-9', '10.1111/j.1475-6773.2009.01063.x']"
1,,"Women in the information technology profession - a literature review, synthesis and research agenda","['10.1177/0146167290163002', '10.2307/800806', '10.1177/001872678904200101', '10.1177/105960118400900304', '10.2307/41164964', '10.1017/cbo9780511625459.008', '10.1177/014920639201800202', '10.1177/014920638701300303', '10.1177/014920638901500302', '10.1016/0378-7206(94)90094-9', '10.2466/pr0.1996.78.3.995', '10.1111/j.1540-5915.1996.tb01822.x', '10.1037/10628-000', '10.1111/j.1744-6570.1982.tb02214.x', '10.1126/science.1542786', '10.2190/8na7-daey-gm8p-eun5', '10.1016/0016-3287(91)90075-d', '10.5465/amr.1983.4284603', '10.5465/amr.1988.4306784', '10.5465/amr.1985.4277352', '10.2307/255910', '10.2307/256398', '10.2307/256604', '10.2307/256769', '10.2307/256675', '10.2307/256795', '10.1002/job.4030130206', '10.1002/job.4030130407', '10.1002/job.4030100403', '10.1126/science.255.5050.1365', '10.1111/j.1559-1816.1985.tb00913.x', '10.1111/j.1559-1816.1987.tb00328.x', '10.1111/j.1471-6402.1985.tb00895.x', '10.1016/0747-5632(94)90057-4', '10.1007/bf00287909', '10.1007/bf00287722', '10.1086/494431', '10.1177/009102608000900313', '10.2307/3250981', '10.2307/249713', '10.2307/249761', '10.2307/249720', '10.1007/bf00287288', '10.1016/0090-2616(84)90019-6', '10.1016/s0007-6813(05)80037-0', '10.1007/bf00381725', '10.1007/bf00382577', '10.1037/0033-2909.105.1.51', '10.2307/3380494', '10.1037/0033-295x.91.2.153', '10.2307/256606', '10.2307/256829', '10.2307/256445', '10.1080/01449299008924239', '10.1016/0749-5978(85)90035-4', '10.1006/obhd.2000.2896', '10.2466/pr0.1986.59.3.1199', '10.1080/08886504.1993.10782068', '10.1080/03634528909378737', '10.35613/ccl.1990.1096', '10.1037/0021-9010.81.4.411', '10.1037/0021-9010.81.4.400', '10.1037/0021-9010.76.4.560', '10.1037/0021-9010.80.1.6', '10.1037/0021-9010.77.1.65', '10.1145/262793.262813', '10.1145/204865.204880', '10.1007/978-90-481-3401-4', '10.1037/0021-9010.75.5.539']"
1,"More than 10 years ago, Orlikowski and Iacono (2001) examined the conceptualization of Information Technology (IT) in Information Systems Research (ISR) articles published in the 1990s. Their main conclusion was that the majority of these articles did not properly conceptualize the IT artifact. They recommended that IS researchers start to theorize about the IT artifact and employ rich conceptualizations of IT. The Orlikowski and Iacono paper provides a strong anchor point from which to analyze the evolution of the IS discipline. In order to obtain an up-to-date image of contemporary IS research, and to assess how the IS field has evolved since the 1990s, we carried out a similar analysis on a more recent and broader set of articles, that is, the full set (N = 644) of papers published between 2006 and 2009 by six top North American (ISR, MISQ, JAIS) and European (JIT, ISJ, EJIS) journals. The statistics in our results reveal no drastic advance in terms of deeper engagement with the IT artifact; more than 39% of the articles in our set are virtually mute about the artifact, and less than 16% employ an ensemble view of IT. Moreover, we note differences among the North American and European journals. Implications of the findings for two perspectives central to the IS research legitimacy debate are discussed.","The ongoing quest for the IT artifact - Looking back, moving forward","['10.2307/256820', '10.1177/001316446002000104', '10.1016/j.infoandorg.2008.03.001', '10.1080/19416521003654160', '10.1177/0170840607081138', '10.1109/hicss.2012.175', '10.2307/2529310', '10.2307/j.ctv12101zq', '10.1111/j.1365-2575.2008.00308.x', '10.1111/j.1365-2575.2008.00301.x', '10.1111/j.1365-2575.2007.00243.x', '10.1111/j.1365-2575.2007.00232.x', '10.1111/j.1365-2575.2006.00240.x', '10.1111/j.1365-2575.2006.00209.x', '10.1080/19416520802211644', '10.1057/ejis.2012.46', '10.1057/ejis.2011.58', '10.1057/ejis.2009.37', '10.1057/ejis.2009.31', '10.1057/ejis.2009.10', '10.1057/ejis.2008.52', '10.1057/ejis.2008.4', '10.1057/palgrave.ejis.3000707', '10.1057/palgrave.ejis.3000662', '10.1057/palgrave.ejis.3000667', '10.1057/palgrave.ejis.3000601', '10.1057/jit.2009.15', '10.2307/25148777', '10.2307/25148801', '10.2307/30036526', '10.2307/30036527', '10.2307/25148866', '10.2307/25148865', '10.2307/25148723', '10.2307/25750700', '10.2307/25148689', '10.2307/25148714', '10.2307/25148664', '10.2307/25148852', '10.1287/orsc.1100.0529', '10.1287/orsc.1070.0307', '10.1287/isre.5.4.350', '10.17705/1jais.00198', '10.17705/1jais.00176', '10.17705/1jais.00196', '10.17705/1jais.00125', '10.17705/1jais.00167', '10.17705/1jais.00155', '10.17705/1jais.00151', '10.17705/1jais.00047', '10.17705/1jais.00043', '10.17705/1jais.00086', '10.1287/isre.1070.0167', '10.1287/isre.12.2.121.9700', '10.1057/jit.2008.14', '10.1057/palgrave.jit.2000120', '10.1145/1390673.1390677', '10.7208/chicago/9780226458144.001.0001', '10.5465/19416520802211644', '10.5465/19416521003654160']"
1,,Review: Knowledge Management and Knowledge Management Systems: Conceptual Foundations and Research Issues,
1,"In this paper I review the Information Systems (IS) research on how developing countries have attempted to benefit from information and communication technologies (ICTs). First I identify three discourses on IS implementation and associated organizational and social change that coexist in information systems in developing countries (ISDC) research, namely as a process of technology and knowledge transfer and adaptation to local social conditions; as a process of socially embedded action; and as a process of transformative techno-organizational intervention associated with global politics and economics. I then point out the distinctive research agenda that has been formed in ISDC studies, both in the more familiar IS themes - failure, outsourcing, and strategic value of ICT - and also in studies of themes relevant specifically to the context of developing countries, such as the development of community ICT and information resources. Finally, I call the reader's attention to the potentially significant theoretical contributions of ISDC research for understanding IS innovation in relation to social context and in relation to socio-economic development theories and policies.",Information systems in developing countries - a critical research review,"['10.1080/02681102.1996.9627212', '10.1080/02681102.2000.9525319', '10.1080/02681102.2000.9525333', '10.1080/02681102.2000.9525318', '10.1080/02681102.1995.9525264', '10.1002/itdj.20056', '10.1002/itdj.20041', '10.1002/itdj.20020', '10.1002/itdj.1590100203', '10.1002/itdj.1590100106', '10.1002/itdj.1590100405', '10.1162/itid.2007.3.3.61', '10.1162/154475203322981978', '10.1017/cbo9780511488603', '10.1016/s0959-8022(00)00008-4', '10.1016/j.infoandorg.2004.05.001', '10.18356/2e565da3-en', '10.1016/j.giq.2006.06.005', '10.1007/978-0-387-35695-2_23', '10.1111/j.1365-2575.2004.00168.x', '10.1046/j.1365-2575.2001.00095.x', '10.1017/cbo9780511615351', '10.1057/palgrave.ejis.3000576', '10.1007/bf00749282', '10.1002/j.1681-4835.2001.tb00029.x', '10.1002/j.1681-4835.2003.tb00076.x', '10.1002/j.1681-4835.2000.tb00005.x', '10.1002/j.1681-4835.2004.tb00132.x', '10.1002/j.1681-4835.2002.tb00054.x', '10.1002/j.1681-4835.2006.tb00150.x', '10.1002/j.1681-4835.2004.tb00131.x', '10.1002/j.1681-4835.2005.tb00142.x', '10.1002/j.1681-4835.2006.tb00146.x', '10.2307/25148797', '10.2307/25148793', '10.2307/25148796', '10.2307/25148735', '10.2307/25148742', '10.2307/25148643', '10.2307/4132313', '10.2307/249475', '10.1016/0959-8022(96)00004-5', '10.1016/s0959-8022(98)00002-2', '10.1287/orsc.7.2.191', '10.2307/249670', '10.2307/249008', '10.1287/isre.7.1.63', '10.1287/isre.7.1.111', '10.1287/isre.9.4.342', '10.4337/9781845426743', '10.1080/01972240290075057', '10.1080/01972240290075002', '10.1080/01972240290075011', '10.1080/019722498128845', '10.1080/019722498128746', '10.1080/01972240290075039', '10.1080/01972240601057213', '10.1080/01972240601059060', '10.1080/01972240309490', '10.1080/01972240309476', '10.1007/978-0-387-34872-8', '10.1002/pad.4230130104', '10.1108/09593840510615879', '10.1108/09593840310463023', '10.1108/09593840310463032', '10.18356/deba5173-en', '10.4018/jgim.1998070104', '10.4018/jgim.1993070102', '10.4018/jgim.1995070103', '10.4018/jgim.2001100101', '10.4018/jgim.2002010103']"
1,"Prior research has generated considerable knowledge on information systems design from software engineering and user-acceptance perspectives. As organizational processes are increasingly embedded within information systems, one of the key considerations of many business processes—organizational incentives—should become an important dimension of any information systems design and evaluation, which we categorize as the third dimension: incentive alignment. Incentive issues have become important in many IS areas, including distributed decision support systems (DSS), knowledge management, and e-business supply chain coordination. In this paper we outline why incentives are important in each of these areas and specify requirements for designing incentive-aligned information systems. We identify and define important unresolved problems along the incentive-alignment dimension of information systems and present a research agenda to address them.",Research Commentary - Introducing a Third Dimension in Information Systems Design - The Case for Incentive Alignment,"['10.1201/1078/43185.15.3.19980601/31129.2', '10.1080/07399019108964968', '10.1080/07399019008968353', '10.1109/hicss.1998.653093', '10.1177/014920639402000402', '10.1007/978-1-349-20215-7_15', '10.1007/978-1-349-20215-7_20', '10.5465/amr.1986.4283909', '10.1080/10864415.1999.11518354', '10.2307/1925895', '10.1007/bf00749743', '10.1287/orsc.5.2.121', '10.1287/orsc.11.4.404.14600', '10.1287/orsc.12.2.215.10117', '10.2307/248853', '10.2307/249649', '10.2307/249460', '10.2307/249689', '10.1287/isre.10.4.356', '10.1287/isre.5.4.400', '10.1287/isre.8.1.95', '10.1007/bf01726210', '10.1515/9781400879762-024', '10.2307/2297045', '10.1080/07421222.2000.11045657', '10.1080/07421222.1989.11517861', '10.1080/07421222.1992.11517941', '10.1080/07421222.1996.11518104', '10.1080/07421222.1998.11518216', '10.1080/07421222.1997.11518172', '10.1287/isre.2.1.63', '10.1023/a:1018931801461', '10.1023/a:1008675230233', '10.1108/eb040073', '10.1177/1046496493244002', '10.1287/mnsc.35.8.982', '10.1145/7538.7545', '10.1002/smj.4250171105', '10.2307/3003457', '10.1037/0021-9010.71.3.492', '10.1145/341836.336231', '10.1145/194313.194322', '10.2307/1914085', '10.2307/1912346', '10.1287/mnsc.47.9.1203.9781', '10.1057/978-1-349-95121-5_1042-2']"
1,"Trends towards increased business process automation, e-commerce, and e-business have led to increasing interest in the field of workflow management. In this paper, we provide a perspective on the state of research in workflow management systems, and discuss possible future research directions in this area, with a particular emphasis on workflow systems in integrating interorganizational processes and enabling e-commerce solutions.",Research Commentary - Workflow Management Issues in e-Business,"['10.1111/1467-8616.00097', '10.1007/3-540-65306-6', '10.1145/22899.22903', '10.1145/359863.359883', '10.1145/58566.59298', '10.1016/s0378-7206(99)00038-5', '10.1017/cbo9780511526558', '10.1109/hicss.1999.772961', '10.1007/bf01149326', '10.1007/978-0-387-35564-1_4', '10.1007/3-540-45594-9_6', '10.1145/356802.356805', '10.1109/csfw.1997.596811', '10.1109/2.485845', '10.1109/5.24143', '10.1023/a:1008759413689', '10.1145/295665.295674', '10.1109/ride.1997.583705', '10.1109/coopis.1997.613807', '10.1145/185827.185843', '10.1109/4434.788776', '10.1109/4434.788777', '10.1007/978-1-4615-5171-3', '10.1287/isre.5.3.195', '10.1109/32.57627', '10.1109/hicss.2001.927235', '10.1109/hicss.2001.927276', '10.1109/hicss.2001.927081', '10.1287/isre.11.4.327.11873', '10.1287/isre.11.1.17.11787', '10.1007/3-540-45594-9', '10.1016/0167-9236(92)90016-i', '10.1142/s0218126698000043', '10.1145/300830.300839', '10.1145/300830.300837', '10.1145/300830.300832', '10.1287/mnsc.40.12.1579', '10.1287/mnsc.43.5.623', '10.1287/mnsc.42.5.768', '10.1007/978-1-4615-5171-3_4', '10.1287/mnsc.45.2.253', '10.1145/321879.321887']"
1,,Privacy in the Digital Age - A Review of Information Privacy Research in Information Systems,
1,"Information systems must be used effectively to obtain maximum benefits from them. However, despite a great deal of research on when and why systems are used, very little research has examined what effective system use involves and what drives it. To move from use to effective use requires understanding an information system's nature and purpose, which in turn requires a theory of information systems. We draw on representation theory, which states that an information system is made up of several structures that serve to represent some part of the world that a user and other stakeholders must understand. From this theory, we derive a high-level framework of how effective use and performance evolve, as well as specific models of the nature and drivers of effective use. The models are designed to explain the effective use of any information system and offer unique insights that would not be offered by traditional views, which tend to consider information systems to be just another tool. We explain how our theory extends existing research, provides a rich platform for research on effective use, and how it contributes back to the theory of information systems from which it was derived.",From Use to Effective Use - A Representation Theory Perspective,"['10.1017/cbo9781139174794', '10.1287/mnsc.49.3.273.12736', '10.1086/229967', '10.1017/cbo9780511815355', '10.1002/per.724', '10.1145/358916.358991', '10.1145/214427.214429', '10.1145/196734.196746', '10.7208/chicago/9780226066226.001.0001', '10.1016/s1471-7727(02)00025-8', '10.1002/0470013419', '10.1037/0003-066x.55.1.68', '10.1086/345321', '10.1056/nejmp1006114', '10.1145/371578.371593', '10.1145/301153.301168', '10.1111/j.1745-6916.2007.00051.x', '10.1007/978-3-642-68390-9', '10.5465/amr.1998.1255636', '10.5465/amr.1998.926617', '10.5465/amr.1989.4308371', '10.1016/j.chb.2004.03.015', '10.1111/j.1365-2575.1995.tb00108.x', '10.1057/palgrave.ejis.3000700', '10.1002/(sici)1097-4571(199609)47:9<672::aid-asi4>3.0.co;2-p', '10.5465/amr.1984.4277657', '10.5465/amr.2006.20208687', '10.2307/258554', '10.2307/259060', '10.1136/jamia.2009.001826', '10.1016/j.dss.2006.02.007', '10.1037/0021-9010.62.5.624', '10.1038/4551040a', '10.1080/07421222.1999.11518246', '10.1016/j.ijmedinf.2005.07.001', '10.3102/00346543058001079', '10.4018/joeuc.2005100101', '10.2307/25148815', '10.2307/30036530', '10.2307/25750703', '10.2307/20650303', '10.2307/30036536', '10.2307/25148695', '10.2307/25148742', '10.2307/30036540', '10.2307/25148728', '10.2307/20650279', '10.1109/hicss.2008.136', '10.1016/0959-8022(91)90011-3', '10.1287/orsc.1090.0473', '10.1287/orsc.9.2.160', '10.1287/orsc.8.2.157', '10.1287/orsc.5.2.121', '10.1287/orsc.1070.0316', '10.1287/orsc.1070.0307', '10.1287/orsc.1070.0284', '10.1287/orsc.1050.0168', '10.1287/orsc.1040.0103', '10.1287/orsc.11.4.404.14600', '10.2307/3250948', '10.2307/249563', '10.2307/248710', '10.2307/249418', '10.2307/249689', '10.2307/249008', '10.1287/isre.1110.0355', '10.1287/isre.8.3.240', '10.1287/isre.8.4.342', '10.1002/asi.10152', '10.1109/32.60316', '10.1080/07421222.2003.11045748', '10.1080/07421222.2002.11045713', '10.1287/isre.3.1.60', '10.1287/isre.1070.0122', '10.1287/isre.1060.0103', '10.1287/isre.1060.0094', '10.1287/isre.1050.0079', '10.1287/isre.12.2.121.9700', '10.1287/isre.11.1.37.11782', '10.1016/j.datak.2004.12.008', '10.1111/j.1468-0335.1937.tb00002.x', '10.1037/0033-2909.120.3.338', '10.1002/smr.271', '10.1207/s15327590ijhc1901_8', '10.1207/s15327051hci1302_1', '10.1080/01449290310001592587', '10.1016/0749-5978(91)90020-t', '10.1016/0749-5978(86)90044-0', '10.4324/9780203166277', '10.1007/978-1-4899-2271-7', '10.1287/mnsc.25.9.833', '10.1145/223248.223257', '10.1016/0001-6918(69)90073-0', '10.1901/jeab.1995.64-263', '10.1145/240455.240479', '10.1002/smj.429', '10.1037/0033-295x.94.1.3', '10.1037/0021-9010.88.6.989', '10.1287/mnsc.1070.0783', '10.1007/978-3-540-48480-6_15']"
1,"We provide a review of the alignment literature in IT, addressing questions such as: What have we learned? What is disputed? Who are contributors to the debate? The article is intended to be useful to faculty and graduate students considering conducting research on alignment, instructors preparing lectures, and practitioners seeking to assess the ‘state-of-play’. It is both informational and provocative. Challenges to the value of alignment research, divergent views, and new perspectives on alignment are presented. It is hoped that the article will spark helpful conversation on the merits of continued investigation of IT alignment.",IT alignment - what have we learned?,"['10.1108/02635579910301810', '10.1108/eum0000000006521', '10.1016/s0268-4012(99)00007-9', '10.2307/41166112', '10.2307/41166021', '10.1016/s0378-7206(99)00048-8', '10.1109/tem.2006.872243', '10.1109/tem.2005.861804', '10.17705/1cais.00111', '10.1016/s0378-7206(04)00077-1', '10.1016/j.im.2005.07.002', '10.1016/j.im.2004.02.009', '10.1016/j.im.2003.10.004', '10.1016/0378-7206(95)00056-9', '10.1016/s0378-7206(02)00011-3', '10.1016/s0378-7206(02)00008-3', '10.1109/17.649870', '10.4324/9781482270259-3', '10.1504/ijtm.2002.003015', '10.1111/j.1540-5915.1998.tb00878.x', '10.1108/10878570510594442', '10.17705/1cais.01111', '10.1016/0378-7206(93)90070-a', '10.1016/s0378-7206(01)00128-8', '10.1016/s0963-8687(01)00044-0', '10.1016/j.jsis.2004.08.002', '10.1016/s0963-8687(03)00017-9', '10.1016/s0963-8687(02)00007-0', '10.1016/s0963-8687(00)00049-4', '10.1016/0963-8687(92)90036-v', '10.1111/j.1540-5915.1994.tb01844.x', '10.1111/1540-5915.02289', '10.1108/17410390510628364', '10.1108/09593849910267251', '10.5465/amr.1989.4279078', '10.1023/a:1007841115754', '10.4018/978-1-878289-87-2.ch004', '10.1057/ejis.1995.2', '10.1504/ijhtm.2001.001115', '10.1080/07421222.2000.11518269', '10.1080/07421222.1999.11518249', '10.1080/026839696345388', '10.1177/026839629300800402', '10.1177/026839629501000305', '10.1177/026839629300800106', '10.1057/jit.1993.6', '10.1057/jit.1993.32', '10.1057/jit.1995.21', '10.2307/25148790', '10.2307/25148659', '10.2307/4132340', '10.2307/3250980', '10.1287/orsc.12.2.179.10113', '10.2307/249730', '10.2307/249452', '10.2307/248909', '10.2307/248801', '10.2307/249542', '10.2307/248843', '10.2307/249521', '10.2307/249006', '10.1147/sj.382.0472', '10.1147/sj.321.0180', '10.1287/isre.7.1.63', '10.1147/sj.321.0162', '10.1147/sj.321.0198', '10.4159/9780674029095', '10.4018/978-1-59140-038-7.ch002', '10.1080/07421222.1990.11517880', '10.1080/07421222.1989.11517854', '10.1080/07421222.1997.11518144', '10.1287/isre.8.2.125', '10.1287/isre.14.4.317.24899', '10.1287/isre.12.1.11.9714', '10.1287/isre.11.3.241.12203', '10.2307/2392695', '10.4018/jcit.2005040107', '10.1006/obhd.1994.1029', '10.1016/j.jss.2005.04.033', '10.1002/smj.4250130204', '10.1016/s0263-2373(01)00043-3', '10.1016/0263-2373(93)90037-i']"
