,title_literaturereview,abstract_literaturereview,title_review,abstract_review,title_survey,abstract_survey,title_experiment,abstract_experiment,title_interview,abstract_interview,title_casestudy,abstract_casestudy,title_questionnaire,abstract_questionnaire,title_designscience,abstract_designscience,references_count,pred,truth
1124,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,1
1667,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,1
2210,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,1
705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1132,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,1
1260,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,1
332,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,1
555,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,1
44,0,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,1,1,0
719,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,1
838,0,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,1,1,0
1258,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
450,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1792,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,1,0
1223,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,1
1116,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2311,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,1
463,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,1,0
1842,0,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,0
819,0,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,0
1804,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1607,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,1
48,1,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,1
1989,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,1
949,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
802,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,1,0
2154,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1653,0,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,0
1725,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2364,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,1
1412,0,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,0
1908,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,1
2351,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
472,0,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,0
1394,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,1
1596,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,1
1386,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,1
618,0,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,0
1222,0,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,0
1754,0,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,0
2386,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1340,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,1
1208,0,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,0
